Run Name,Strategy,Status,Stop Reason,Total Iters,Exec Time (s),Size,Obstacles,Border,Sprayer,Initial Obj,Final Obj,Improvement (%),Final Coverage (%),Final Dist,Final Maneuver,Plot,History File
inst_26_large_none_no_border_spray20_first,first,Success,max_time_secs,813,2034.1489791870117,large,none,No,20,6322.0,3978.2182172773196,37.07342269412655,100.0,3935.407039848,42.81117742931978,agricultural_csp/results\inst_26_large_none_no_border_spray20_first_final.jpg,agricultural_csp/results\inst_26_large_none_no_border_spray20_first_history.csv
inst_25_large_none_no_border_spray12_first,first,Success,max_time_secs,1436,2051.9775216579437,large,none,No,12,10891.0,7434.125100582476,31.740656500023174,100.0,7318.559667352112,115.56543323036415,agricultural_csp/results\inst_25_large_none_no_border_spray12_first_final.jpg,agricultural_csp/results\inst_25_large_none_no_border_spray12_first_history.csv
inst_29_large_many_small_no_border_spray12_first,first,Success,max_time_secs,1602,2027.54460811615,large,many_small,No,12,10449.009948910998,7516.163770272119,28.068172898471992,99.76696244510173,7372.993754243112,143.16302490235995,agricultural_csp/results\inst_29_large_many_small_no_border_spray12_first_final.jpg,agricultural_csp/results\inst_29_large_many_small_no_border_spray12_first_history.csv
inst_33_large_few_large_no_border_spray12_first,first,Success,max_time_secs,1336,2042.0832030773163,large,few_large,No,12,10345.00880653151,7127.503837414357,31.102003191004755,100.0,7004.407370722418,123.09646669193884,agricultural_csp/results\inst_33_large_few_large_no_border_spray12_first_final.jpg,agricultural_csp/results\inst_33_large_few_large_no_border_spray12_first_history.csv
inst_34_large_few_large_no_border_spray20_first,first,Success,max_time_secs,814,1969.863855600357,large,few_large,No,20,5541.026366916459,4142.081947063316,25.247026944425915,99.86122675548155,4097.814596007658,44.263187858322624,agricultural_csp/results\inst_34_large_few_large_no_border_spray20_first_final.jpg,agricultural_csp/results\inst_34_large_few_large_no_border_spray20_first_history.csv
inst_35_large_few_large_with_border_spray12_first,first,Success,max_time_secs,1356,1953.1004147529602,large,few_large,Yes,12,7875.08258906664,6084.192635436329,22.741221230069268,99.494552949259,5958.370809647889,125.80666237691838,agricultural_csp/results\inst_35_large_few_large_with_border_spray12_first_final.jpg,agricultural_csp/results\inst_35_large_few_large_with_border_spray12_first_history.csv
inst_01_small_none_no_border_spray12_best,best,Success,max_time_secs,443,1812.8829555511475,small,none,No,12,1187.0,812.3695167747277,31.56111905857391,100.0,800.155784063008,12.213732711719631,agricultural_csp/results\inst_01_small_none_no_border_spray12_best_final.jpg,agricultural_csp/results\inst_01_small_none_no_border_spray12_best_history.csv
inst_03_small_none_with_border_spray12_best,best,Success,max_time_secs,1353,1804.57816696167,small,none,Yes,12,531.3553398058252,531.3553398058252,0.0,88.15533980582524,478.0,53.0,agricultural_csp/results\inst_03_small_none_with_border_spray12_best_final.jpg,agricultural_csp/results\inst_03_small_none_with_border_spray12_best_history.csv
inst_04_small_none_with_border_spray20_best,best,Success,max_time_secs,2381,1804.2550938129425,small,none,Yes,20,254.49246987951807,247.59047314209317,2.7120632452081748,88.60441767068274,240.27177723703818,6.976828435175454,agricultural_csp/results\inst_04_small_none_with_border_spray20_best_final.jpg,agricultural_csp/results\inst_04_small_none_with_border_spray20_best_history.csv
inst_02_small_none_no_border_spray20_best,best,Success,max_time_secs,1208,1815.6841971874237,small,none,No,20,760.0,349.17560674396015,54.05584121789998,100.0,348.4791207216817,0.6964860222784447,agricultural_csp/results\inst_02_small_none_no_border_spray20_best_final.jpg,agricultural_csp/results\inst_02_small_none_no_border_spray20_best_history.csv
inst_05_small_many_small_no_border_spray12_best,best,Success,max_time_secs,850,1805.7606358528137,small,many_small,No,12,979.1312741312742,777.6094284909128,20.581698385557125,98.02659802659802,758.5649271393506,18.985299292360036,agricultural_csp/results\inst_05_small_many_small_no_border_spray12_best_final.jpg,agricultural_csp/results\inst_05_small_many_small_no_border_spray12_best_history.csv
inst_06_small_many_small_no_border_spray20_best,best,Success,max_time_secs,1657,1803.5307130813599,small,many_small,No,20,775.0127901468499,472.03045431227565,39.093849764358716,99.57366177167219,458.9305820282367,13.08708213718908,agricultural_csp/results\inst_06_small_many_small_no_border_spray20_best_final.jpg,agricultural_csp/results\inst_06_small_many_small_no_border_spray20_best_history.csv
inst_36_large_few_large_with_border_spray20_first,first,Success,max_time_secs,1003,1926.022091627121,large,few_large,Yes,20,4109.172197448926,3688.50826112122,10.237194162582544,94.90822358187286,3588.2258162311273,100.1296915975491,agricultural_csp/results\inst_36_large_few_large_with_border_spray20_first_final.jpg,agricultural_csp/results\inst_36_large_few_large_with_border_spray20_first_history.csv
inst_07_small_many_small_with_border_spray12_best,best,Success,max_time_secs,3437,1802.1667790412903,small,many_small,Yes,12,386.90928435109817,379.91838665540325,1.8068570536940307,87.1811224489796,364.1111257190209,15.422694609851767,agricultural_csp/results\inst_07_small_many_small_with_border_spray12_best_final.jpg,agricultural_csp/results\inst_07_small_many_small_with_border_spray12_best_history.csv
inst_08_small_many_small_with_border_spray20_best,best,Success,max_time_secs,11494,1800.1771142482758,small,many_small,Yes,20,23.92811296534018,23.92811296534018,0.0,69.06290115532734,22.0,1.0,agricultural_csp/results\inst_08_small_many_small_with_border_spray20_best_final.jpg,agricultural_csp/results\inst_08_small_many_small_with_border_spray20_best_history.csv
inst_09_small_few_large_no_border_spray12_best,best,Success,max_time_secs,852,1807.207658290863,small,few_large,No,12,1059.0245901639346,822.9854615981822,22.288352013546174,99.90892531876139,809.1761040853646,13.806625272380472,agricultural_csp/results\inst_09_small_few_large_no_border_spray12_best_final.jpg,agricultural_csp/results\inst_09_small_few_large_no_border_spray12_best_history.csv
inst_10_small_few_large_no_border_spray20_best,best,Success,max_time_secs,1609,1805.3295555114746,small,few_large,No,20,636.0500902527076,477.3049992960985,24.957954316701446,100.0,473.2983402141401,4.0066590819583645,agricultural_csp/results\inst_10_small_few_large_no_border_spray20_best_final.jpg,agricultural_csp/results\inst_10_small_few_large_no_border_spray20_best_history.csv
inst_11_small_few_large_with_border_spray12_best,best,Success,max_time_secs,1564,1801.4254567623138,small,few_large,Yes,12,369.5372871403406,369.5372871403406,0.0,82.09042865531416,336.0,33.0,agricultural_csp/results\inst_11_small_few_large_with_border_spray12_best_final.jpg,agricultural_csp/results\inst_11_small_few_large_with_border_spray12_best_history.csv
inst_12_small_few_large_with_border_spray20_best,best,Success,max_time_secs,13259,1800.154377937317,small,few_large,Yes,20,46.44730941704036,44.41000761874591,4.386264401242186,85.08968609865471,43.22450517911733,0.7381930225882234,agricultural_csp/results\inst_12_small_few_large_with_border_spray20_best_final.jpg,agricultural_csp/results\inst_12_small_few_large_with_border_spray20_best_history.csv
inst_15_medium_none_with_border_spray12_best,best,Success,max_time_secs,205,1840.8800404071808,medium,none,Yes,12,3447.1411572052402,3443.553078191194,0.10408854324246378,95.37117903930131,3096.828427124746,346.5857864376269,agricultural_csp/results\inst_15_medium_none_with_border_spray12_best_final.jpg,agricultural_csp/results\inst_15_medium_none_with_border_spray12_best_history.csv
inst_13_medium_none_no_border_spray12_best,best,Success,max_time_secs,158,1875.5719203948975,medium,none,No,12,4917.0,3962.393909460888,19.414400865143623,100.0,3789.3728617047486,173.02104775613955,agricultural_csp/results\inst_13_medium_none_no_border_spray12_best_final.jpg,agricultural_csp/results\inst_13_medium_none_no_border_spray12_best_history.csv
inst_16_medium_none_with_border_spray20_best,best,Success,max_time_secs,322,1836.2603642940521,medium,none,Yes,20,1542.2313022437309,1479.7608873730042,4.0506514671204625,99.2520897492301,1466.9946999325155,12.74375013296543,agricultural_csp/results\inst_16_medium_none_with_border_spray20_best_final.jpg,agricultural_csp/results\inst_16_medium_none_with_border_spray20_best_history.csv
inst_14_medium_none_no_border_spray20_best,best,Success,max_time_secs,174,1886.8699340820312,medium,none,No,20,2862.0,2027.7665947768583,29.14861653470097,100.0,2005.1503691262933,22.616225650564942,agricultural_csp/results\inst_14_medium_none_no_border_spray20_best_final.jpg,agricultural_csp/results\inst_14_medium_none_no_border_spray20_best_history.csv
inst_18_medium_many_small_no_border_spray20_best,best,Success,max_time_secs,343,1854.5610084533691,medium,many_small,No,20,2813.03009118541,2108.8653107817304,25.032251969510387,99.91894630192503,2087.463765024458,21.39911414633021,agricultural_csp/results\inst_18_medium_many_small_no_border_spray20_best_final.jpg,agricultural_csp/results\inst_18_medium_many_small_no_border_spray20_best_history.csv
